Year,State Coverage,Region,Quantity,Total Value
1998,Arkansas,South,47800000.0,235400000.0
1998,California,West,190100000.0,1145000000.0
1998,Colorado,West,54900000.0,258800000.0
1998,Connecticut,Northeast,14040000.0,98600000.0
1998,Delaware,South,2560000.0,11500000.0
1998,Florida,South,102300000.0,462600000.0
1998,Georgia,South,81330000.0,469500000.0
1998,Hawaii,West,5868000.0,58490000.0
1998,Idaho,West,20780000.0,70800000.0
1998,Illinois,Midwest,106200000.0,521000000.0
1998,Indiana,Midwest,85800000.0,384000000.0
1998,Iowa,Midwest,55300000.0,277500000.0
1998,Kansas,Midwest,32600000.0,146400000.0
1998,Kentucky,South,67600000.0,318500000.0
1998,Louisiana,South,11400000.0,53800000.0
1998,Maine,Northeast,11760000.0,56400000.0
1998,Maryland,South,34700000.0,201500000.0
1998,Massachusetts,Northeast,26800000.0,174900000.0
1998,Michigan,Midwest,110600000.0,412000000.0
1998,Minnesota,Midwest,53000000.0,225500000.0
1998,Mississippi,South,14089000.0,67190000.0
1998,Missouri,Midwest,77870000.0,395300000.0
1998,Montana,West,12430000.0,50000000.0
1998,Nebraska,Midwest,21290000.0,96800000.0
1998,Nevada,West,32720000.0,148000000.0
1998,New Hampshire,Northeast,12780000.0,67500000.0
1998,New Jersey,Northeast,40500000.0,251800000.0
1998,New Mexico,West,16040000.0,74300000.0
1998,New York,Northeast,79300000.0,440000000.0
1998,North Carolina,South,80600000.0,538000000.0
1998,North Dakota,Midwest,10700000.0,30400000.0
1998,Ohio,Midwest,127500000.0,603000000.0
1998,Oklahoma,South,47500000.0,187900000.0
1998,Oregon,West,41800000.0,217200000.0
1998,Pennsylvania,Northeast,113700000.0,620000000.0
1998,Rhode Island,Northeast,3630000.0,25300000.0
1998,South Carolina,South,37690000.0,217900000.0
1998,South Dakota,Midwest,15820000.0,60200000.0
1998,Tennessee,South,73010000.0,419800000.0
1998,Texas,South,174600000.0,755000000.0
1998,Utah,West,53270000.0,175900000.0
1998,Vermont,Northeast,10530000.0,49700000.0
1998,Virginia,South,77800000.0,444800000.0
1998,Washington,West,65700000.0,325000000.0
1998,West Virginia,South,13950000.0,76150000.0
1998,Wisconsin,Midwest,65900000.0,243000000.0
1998,Wyoming,West,10350000.0,49700000.0
1999,Alabama,South,64600000.0,422900000.0
1999,Alaska,West,11420000.0,58400000.0
1999,Arizona,West,63470000.0,349900000.0
1999,Arkansas,South,42000000.0,198200000.0
1999,California,West,204400000.0,1281000000.0
1999,Colorado,West,58400000.0,292500000.0
