Mine ID,Mine Name,Commodity,Mine Status,Status Date,Type of Mine
0103064,Foshee Pit,Construction Sand and Gravel,Abandoned,7/26/1996,Surface
0103082,Corte Pit,Construction Sand and Gravel,Abandoned,7/25/2023,Surface
0103084,City Pit,Construction Sand and Gravel,Active,7/22/2024,Surface
0103086,BENCHMARK,Construction Sand and Gravel,Abandoned,1/28/2016,Surface
0103088,APPLETON - PIT #4,Construction Sand and Gravel,Abandoned,12/1/2000,Surface
0103090,Poarch Pit,Construction Sand and Gravel,Abandoned,7/7/2011,Surface
0103094,HICKS PIT,Construction Sand and Gravel,Abandoned,2/4/2003,Surface
0103098,Waugh Pit,Construction Sand and Gravel,Abandoned,6/9/2019,Surface
0103099,Red Bluff-Waugh Plant,Construction Sand and Gravel,Abandoned,10/25/2010,Surface
0103111,SHEEHAN PIT,Construction Sand and Gravel,Abandoned,11/1/1998,Surface
0103114,Wallace-Pit #3,Construction Sand and Gravel,Abandoned,4/13/2006,Surface
0103119,KING PIT,Construction Sand and Gravel,Abandoned,4/18/2005,Surface
0103120,"ASC MARKETING, INC, WARD PIT",Construction Sand and Gravel,Abandoned,5/7/1999,Surface
0103121,MAGNUM PLANT,Construction Sand and Gravel,Abandoned,1/24/2001,Surface
0103123,Blanton Pit,Construction Sand and Gravel,Abandoned,6/8/2016,Surface
0103124,Lois Lane Pit,Construction Sand and Gravel,Abandoned,12/17/2015,Surface
0103125,PATTON ISLAND MINE,Construction Sand and Gravel,Abandoned,10/12/1999,Surface
0103130,B & R Sand & Gravel,Construction Sand and Gravel,Active,7/8/2010,Surface
0103132,Montgomery Pit,Construction Sand and Gravel,Abandoned,7/2/2009,Surface
